id,hole,index,par,shots
69,17,12,3,t176x3.r44-3.g24-6x3
69,18,16,4,t356x3.r89r.g36-3x2
70,1,1,5,t501.y312r.f287.f112.y20-9.r8-6.g3-3
70,2,7,3,t192x3.g6-3x2
70,3,3,4,t403.r162r.r12-8.g10-2x2
70,4,9,3,t185.g20-9x3
70,5,5,5,t418.y168l.r140l.r10-6.g10-12x2
70,6,13,4,t250.f42.g22-2x3
70,7,15,4,t261.f62.f12-6.g2-2
70,8,11,4,t322x2.r150r.r10-8.f5-11.g3-2
70,9,17,3,t128.g19-9x2
70,10,12,4,t248x3.r44-8.g20-12x4
70,11,8,3,t151.f36-6.f12-6.g2-5
70,12,14,4,t268.f75.g5-5x2
70,13,16,3,t168x2.r80-6.f12-6.g12-6x3
70,14,10,4,t265.f70.g9-10x2
70,15,4,4,t310.f62.g19-6x3
70,16,18,3,t162.r49-6.g18-6
70,17,2,5,t415.f186.r30-12x2.f6-12.g1-9
70,18,6,5,t410.r208l.f110.f7-1.g10-1
71,1,1,5,t512x2.r330rx2.r177rx2.r148r.r15-5.g13-6x2
71,2,7,3,t194.g14-7x2
71,3,3,4,t405x2.f205.r35-8.g27-5x3
71,4,9,3,t188.f7-2.g4-7x2
71,5,5,5,t451.r220l.f105.f8-8
71,6,13,4,t249.f40.g15-6x2
71,7,15,4,t271.r38l.g1-9
71,8,11,4,t332.f148.r8-8.g1-8
71,9,17,3,t130.r8-3.g10-6x3
71,10,12,4,t298x3.f80.f30-6.g4-6x2
71,11,8,3,t147.r23-8.g6-6x2
71,12,14,4,t278.f40.g15-6x3
71,13,16,3,t170.f15-9.g6-11x2
71,14,10,4,t265.r63r.s31-11.s15-6.g10-1x2
71,15,4,4,t314x2.r148r.r56r.g18-11x2
71,16,18,3,t160.r39-9.r20-12.g4-12x2
71,17,2,5,t390.f135.r10-3.s10-3.g25-2x2
71,18,6,5,t420.r156.g11-9x2
72,1,2,4,t255.r118l.r55-6.g20-6x2
72,2,7,3,t106.g20-6x2
72,3,6,3,t161.r19-5.g18-6x2
72,4,5,3,t170.g20-9x2
72,5,1,4,t278.r67r.g9-4x2
72,6,3,4,t245x3.r70r.r18-4.r4-1.g3-1
72,7,9,3,t105.g20-7x2
72,8,4,3,t162.r25-6.g16-8x3
72,9,8,3,t142.g21-11x2
73,1,2,4,t249.r68r.g8-9x3
73,2,7,3,t104.f11-7.r4-11.g2-1x2
73,3,6,3,t170.r35-11.g7-10
73,4,5,3,t180.r7-5.g2-6
73,5,1,4,t281.f46.r8-12.g6-7x2
73,6,3,4,t257.f35.g12-12x2
73,7,9,3,t99.f8-5.g5-10
73,8,4,3,t154.f27-5.g14-6x2
73,9,8,3,t140.f3-6.g9-12x3
74,1,13,4,t348.f83.r40-11.r8-6.g9-12x2
74,2,15,5,t514.r296r.f174.f50-6.g2-8x2
74,3,3,4,t393.f139.r12-3.g5-10
74,4,11,3,t134.r14-7.g15-6x2
74,5,7,4,t357.f116.g42-12x3
74,6,5,4,t388.r141r.g12-7x2
74,7,9,4,t372.r142r.r18-4.r18-12.g9-1x2
74,8,1,5,t535.r337r.r309r.r278r.f131.g16-8x2
74,9,17,3,t155.g16-5x2
74,10,6,4,t380.f150.g15-8x2
74,11,8,4,t367.f125.r26-1.f12-6.g10-11x2
74,12,14,3,t138.g24-7x3
74,13,12,4,t354.r136r.g28-4x2
74,14,16,4,t320x2.r111l.g10-6x2
74,15,10,5,t468.f234.f66.g16-7x2
74,16,2,4,t412.f170.g14-9x2
74,17,18,5,t461.r271r.f101.g11-6x2
74,18,4,3,t193.f22-6.g8-11x2
75,1,1,5,t513.r299r.r122r.r22-8.g8-5x2
75,2,7,3,t183x2.r28-8.g14-4x2
75,3,3,4,t385.r156l.r35-9.g14-10x2
75,4,9,3,t137.g21-8x4
75,5,5,5,t405.r167l.f8-6.g2-3
75,6,13,4,t223.r37-4.g21-6x3
75,7,15,4,t263.r48r.f10-6x2.g2-1
75,8,11,4,t317x3.r131r.g2-10x2
75,9,17,3,t134.r12-4.r7-6.g3-8x2
75,10,12,4,t242.r15-5.g9-3
75,11,8,3,t131.r16-4.g6-2x2
75,12,14,4,t250.f40.g14-12x2
75,13,16,3,t138.g6-9.g2-8
75,14,10,4,t230.r10-3.g3-2x2
75,15,4,4,t313x3.r81r.f5-11.g7-11
75,16,18,3,t160.r10-5.g3-11x2
75,17,2,5,t375.y140r.f30.f6-12.g4-7
75,18,6,5,t375x2.r135l.g22-4x3
