date,course,tees,rating,slope,par,duration,transport,score,fairways_hit,fairways,greens_in_reg,putts,nine_hole_round
11/4/2017,Mission Trails Golf Course,White,66.8,114,71,5:45,Walk (Push),84,6,13,5,34,FALSE
12/3/2017,Tecolote Canyon Golf Course,Blue,58.6,101,58,4:00,Cart,87,4,4,5,36,FALSE
12/9/2017,Carlton Oaks Country Club,Green,71.1,131,72,5:30,Walk (Push),94,8,14,7,37,FALSE
12/30/2017,Salt Creek,Gold,70.6,127,72,5:00,Cart,90,8,14,10,41,FALSE
1/28/2018,Mt. Woodson,White,67.3,129,70,5:10,Cart,83,4,13,5,31,FALSE
2/11/2018,Balboa Park (9),Back,30.1,94,32,1:33,Walk,35,1,5,5,16,TRUE
2/18/2018,Carmel Mountain Ranch Country Club,Blue,70.6,126,72,5:04,Cart,91,5,14,7,36,FALSE
2/19/2018,Torrey Pines North,Green,71.2,122,72,4:26,Walk (Push),96,6,14,4,40,FALSE
2/22/2018,Mission Bay Golf Resort,Back,54.1,67.6,58,2:30,Walk,73,2,4,8,41,FALSE
2/23/2018,Kierland Golf Club (Mesquite/Ironwood),Indigo,67.2,113,72,4:41,Cart,91,8,14,5,33,FALSE
2/25/2018,Kierland Golf Club (Acacia/Ironwood),Indigo,67.2,114,72,4:26,Cart,82,9,13,9,34,FALSE
3/4/2018,Torrey Pines North,Green,71.2,122,72,4:27,Walk (Push),83,8,14,8,34,FALSE
3/30/2018,Balboa Park (9),Back,30.1,94,32,1:31,Walk,35,2,5,5,16,TRUE
3/31/2018,Balboa Park (18),Blue,71.2,125,72,3:27,Walk (Push),88,5,14,5,33,FALSE
4/7/2018,Carlton Oaks Country Club,Blue,72.8,135,72,5:15,Cart,90,10,14,5,33,FALSE
4/20/2018,Tecolote Canyon Golf Course,Blue,58.6,101,58,3:24,Walk (Push),74,3,4,4,31,FALSE
4/27/2018,Tecolote Canyon Golf Course,Blue,58.6,101,58,3:18,Walk (Push),74,4,4,8,39,FALSE
5/6/2018,Tecolote Canyon Golf Course,Blue,58.6,101,58,3:38,Walk (Push),69,2,4,4,32,FALSE
5/19/2018,Eastlake Country Club,White,68.0,124,72,5:02,Walk (Push),87,8,14,6,33,FALSE
5/27/2018,Mission Trails Golf Course,Blue,68.9,119,71,4:21,Walk (Push),90,6,13,5,38,FALSE
6/10/2018,Riverwalk Golf Club (Mission/Friars),Blue,35.3,123,36,2:11,Cart,47,4,7,2,19,TRUE
6/17/2018,Steele Canyon (Canyon/Ranch),Gold,68.2,124,71,4:42,Cart,85,12,13,4,33,FALSE
6/24/2018,Coronado Municipal GC,Blue,71.6,121,72,4:26,Cart,93,5,14,3,34,FALSE
7/1/2018,Arrowood GC,White,68.5,125,71,4:45,Cart,89,6,14,2,34,FALSE
12/23/2018,Balboa Park (9),Back,30.1,94,32,2:23,Walk (Push),46,1,5,3,18,TRUE
12/29/2018,Riverwalk (Presidio/Mission),White,35.4,124,36,2:15,Walk (Push),49,6,7,1,19,TRUE
2/16/2019,Balboa Park (18),White,68.9,124,72,5:05,Walk (Push),97,6,14,3,31,FALSE
3/30/2019,Balboa Park (9),Back,30.1,94,32,2:01,Walk,42,2,5,3,15,TRUE
10/12/2019,Mission Trails Golf Course,White,66.7,114,71,4:31,Cart,84,7,13,4,30,FALSE
11/9/2019,Tijeras Creek Golf Club,White,69.5,125,72,4:24,Cart,91,2,14,4,36,FALSE
6/25/2020,Newton Commonwealth Golf Course,Blue,67.0,119,70,4:36,Walk (Push),89,2,12,5,36,FALSE
7/4/2020,Quail Ridge Country Club,Blue,34.3,128,35,2:28,Walk (Push),44,3,7,2,17,TRUE
7/12/2020,Leo J Martin GC,Blue,34.6,116,36,2:30,Walk (Push),38,2,7,6,17,TRUE
7/19/2020,Patriot Golf Course,Blue,68.6,128,35,2:10,Walk (Push),41,5,7,1,13,TRUE
7/25/2020,Patriot Golf Course,Blue,68.6,128,35,2:06,Walk (Push),44,2,7,1,15,TRUE
8/2/2020,Pine Meadows GC,Blue,67.0,105,35,2:05,Walk (Push),45,1,6,4,19,TRUE
8/22/2020,Leo J Martin GC,Blue,34.6,116,36,2:15,Walk (Push),42,3,7,6,19,TRUE
8/26/2020,Wayland Country Club,Blue,68.5,118,70,4:00,Walk (Push),81,3,14,6,33,FALSE
8/30/2020,Lyman Orchard GC (Apple Nine),Back,28.2,87,29,2:00,Walk,37,1,2,7,20,TRUE
8/31/2020,Sandy Burr CC, White,68.3,124,72,4:05,Walk (Push),83,8,14,5,29,FALSE
